00A2	c
00A3	GBP
00A5	JPY
00A9	(c)
00AB	<<
00AE	(R)
00B0	deg
00B1	+-
00B2	2
00B3	3
00B5	u
00B7	.
00B9	1
00BB	>>
00BC	1/4
00BD	1/2
00BE	3/4
00C0	A
00C1	A
00C2	A
00C3	A
00C4	A
00C5	A
00C6	AE
00C7	C
00C8	E
00C9	E
00CA	E
00CB	E
00CC	I
00CD	I
00CE	I
00CF	I
00D0	D
00D1	N
00D2	O
00D3	O
00D4	O
00D5	O
00D6	O
00D7	x
00D8	O
00D9	U
00DA	U
00DB	U
00DC	U
00DD	Y
00DE	Th
00DF	ss
00E0	a
00E1	a
00E2	a
00E3	a
00E4	a
00E5	a
00E6	ae
00E7	c
00E8	e
00E9	e
00EA	e
00EB	e
00EC	i
00ED	i
00EE	i
00EF	i
00F0	d
00F1	n
00F2	o
00F3	o
00F4	o
00F5	o
00F6	o
00F7	/
00F8	o
00F9	u
00FA	u
00FB	u
00FC	u
00FD	y
00FE	th
00FF	y
0100	A
0101	a
0102	A
0103	a
0104	A
0105	a
0106	C
0107	c
0108	C
0109	c
010A	C
010B	c
010C	C
010D	c
010E	D
010F	d
0110	D
0111	d
0112	E
0113	e
0114	E
0115	e
0116	E
0117	e
0118	E
0119	e
011A	E
011B	e
011C	G
011D	g
011E	G
011F	g
0120	G
0121	g
0122	G
0123	g
0124	H
0125	h
0126	H
0127	h
0128	I
0129	i
012A	I
012B	i
012C	I
012D	i
012E	I
012F	i
0130	I
0131	i
0132	IJ
0133	ij
0134	J
0135	j
0136	K
0137	k
0138	k
0139	L
013A	l
013B	L
013C	l
013D	L
013E	l
013F	L
0140	l
0141	L
0142	l
0143	N
0144	n
0145	N
0146	n
0147	N
0148	n
0149	n
014A	N
014B	n
014C	O
014D	o
014E	O
014F	o
0150	O
0151	o
0152	OE
0153	oe
0154	R
0155	r
0156	R
0157	r
0158	R
0159	r
015A	S
015B	s
015C	S
015D	s
015E	S
015F	s
0160	S
0161	s
0162	T
0163	t
0164	T
0165	t
0166	T
0167	t
0168	U
0169	u
016A	U
016B	u
016C	U
016D	u
016E	U
016F	u
0170	U
0171	u
0172	U
0173	u
0174	W
0175	w
0176	Y
0177	y
0178	Y
0179	Z
017A	z
017B	Z
017C	z
017D	Z
017E	z
017F	s
0180	b
0181	B
0182	B
0183	b
0187	C
0188	c
0189	D
018A	D
018B	D
018C	d
0190	E
0191	F
0192	f
0193	G
0197	I
0198	K
0199	k
019A	l
019D	N
019E	n
019F	O
01A0	O
01A1	o
01AF	U
01B0	u
01B5	Z
01B6	z
01C4	DZ
01C5	Dz
01C6	dz
01C7	LJ
01C8	Lj
01C9	lj
01CA	NJ
01CB	Nj
01CC	nj
01CD	A
01CE	a
01CF	I
01D0	i
01D1	O
01D2	o
01D3	U
01D4	u
01D5	U
01D6	u
01D7	U
01D8	u
01D9	U
01DA	u
01DB	U
01DC	u
01DE	A
01DF	a
01E0	A
01E1	a
01E2	AE
01E3	ae
01E4	G
01E5	g
01E6	G
01E7	g
01E8	K
01E9	k
01EA	O
01EB	o
01EC	O
01ED	o
01F0	j
01F1	DZ
01F2	Dz
01F3	dz
01F4	G
01F5	g
01F8	N
01F9	n
01FA	A
01FB	a
01FC	AE
01FD	ae
01FE	O
01FF	o
0200	A
0201	a
0202	A
0203	a
0204	E
0205	e
0206	E
0207	e
0208	I
0209	i
020A	I
020B	i
020C	O
020D	o
020E	O
020F	o
0210	R
0211	r
0212	R
0213	r
0214	U
0215	u
0216	U
0217	u
0218	S
0219	s
021A	T
021B	t
021E	H
021F	h
0220	N
0224	Z
0225	z
0226	A
0227	a
0228	E
0229	e
022A	O
022B	o
022C	O
022D	o
022E	O
022F	o
0230	O
0231	o
0232	Y
0233	y
023A	A
023B	C
023C	c
023D	L
023E	T
0243	B
0244	U
0245	V
0246	E
0247	e
0248	J
0249	j
024A	Q
024B	q
024C	R
024D	r
024E	Y
024F	y
0386	A
0388	E
0389	I
038A	I
038C	O
038E	Y
038F	O
0390	i
0391	A
0392	B
0393	G
0394	D
0395	E
0396	Z
0397	I
0398	Th
0399	I
039A	K
039B	L
039C	M
039D	N
039E	X
039F	O
03A0	P
03A1	R
03A3	S
03A4	T
03A5	Y
03A6	F
03A7	Ch
03A8	Ps
03A9	O
03AC	a
03AD	e
03AE	i
03AF	i
03B0	y
03B1	a
03B2	b
03B3	g
03B4	d
03B5	e
03B6	z
03B7	i
03B8	th
03B9	i
03BA	k
03BB	l
03BC	m
03BD	n
03BE	x
03BF	o
03C0	p
03C1	r
03C2	s
03C3	s
03C4	t
03C5	y
03C6	f
03C7	ch
03C8	ps
03C9	o
03CA	i
03CB	y
03CC	o
03CD	y
03CE	o
0400	E
0401	Yo
0402	Dj
0403	G
0404	Ye
0405	Dz
0406	I
0407	Yi
0408	J
0409	Lj
040A	Nj
040B	Tsh
040C	K
040D	I
040E	U
040F	Dzh
0410	A
0411	B
0412	V
0413	G
0414	D
0415	E
0416	Zh
0417	Z
0418	I
0419	Y
041A	K
041B	L
041C	M
041D	N
041E	O
041F	P
0420	R
0421	S
0422	T
0423	U
0424	F
0425	Kh
0426	Ts
0427	Ch
0428	Sh
0429	Shch
042A	
042B	Y
042C	
042D	E
042E	Yu
042F	Ya
0430	a
0431	b
0432	v
0433	g
0434	d
0435	e
0436	zh
0437	z
0438	i
0439	y
043A	k
043B	l
043C	m
043D	n
043E	o
043F	p
0440	r
0441	s
0442	t
0443	u
0444	f
0445	kh
0446	ts
0447	ch
0448	sh
0449	shch
044A	
044B	y
044C	
044D	e
044E	yu
044F	ya
0450	e
0451	yo
0452	dj
0453	g
0454	ye
0455	dz
0456	i
0457	yi
0458	j
0459	lj
045A	nj
045B	tsh
045C	k
045D	i
045E	u
045F	dzh
0490	G
0491	g
0900	
0901	m
0902	m
0903	h
0904	a
0905	a
0906	aa
0907	i
0908	i
0909	u
090A	u
090B	r
090C	l
090D	e
090E	e
090F	e
0910	ai
0911	o
0912	o
0913	o
0914	au
0915	ka
0916	kha
0917	ga
0918	gha
0919	nga
091A	cha
091B	chha
091C	ja
091D	jha
091E	nya
091F	ta
0920	tha
0921	da
0922	dha
0923	na
0924	ta
0925	tha
0926	da
0927	dha
0928	na
0929	na
092A	pa
092B	pha
092C	ba
092D	bha
092E	ma
092F	ya
0930	ra
0931	ra
0932	la
0933	la
0934	la
0935	va
0936	sha
0937	sha
0938	sa
0939	ha
093A	
093B	
093C	
093D	
093E	a
093F	i
0940	i
0941	u
0942	u
0943	r
0944	r
0945	e
0946	e
0947	e
0948	ai
0949	o
094A	o
094B	o
094C	au
094D	
094E	
094F	
0950	om
0951	
0952	
0953	
0954	
0955	e
0956	u
0957	u
0958	qa
0959	kha
095A	ga
095B	za
095C	da
095D	dha
095E	fa
095F	ya
0960	r
0961	l
0962	l
0963	l
0964	.
0965	.
0966	0
0967	1
0968	2
0969	3
096A	4
096B	5
096C	6
096D	7
096E	8
096F	9
0970	.
0981	m
0982	m
0983	h
0985	a
0986	aa
0987	i
0988	i
0989	u
098A	u
098B	r
098C	l
098F	e
0990	ai
0993	o
0994	au
0995	ka
0996	kha
0997	ga
0998	gha
0999	nga
099A	cha
099B	chha
099C	ja
099D	jha
099E	nya
099F	ta
09A0	tha
09A1	da
09A2	dha
